Squadra,Nome,Squadra_Appartenenza,Ruolo,Ruoli_Mantra,Prezzo,Quotazione,Quotazione_Mantra,Fantacalcio_Id
"Triboli","Rugani","JUV","D","Dc",1,1,1,294
"Triboli","Diawara S.","MIL","D","Dc,Ds",1,2,2,7525
"Triboli","Kelly L.","JUV","D","Dc,Ds",26,5,6,6766
"Triboli","Patric","LAZ","D","Dc,Dd",1,1,1,327
"Triboli","Celik","JUV","D","B,Dd,E",21,8,9,4657
"Triboli","Mangas","MON","D","Ds,E",11,6,6,7485
"Triboli","Ellertsson","GEN","C","E,C",7,6,7,6020
"Triboli","Frendrup","GEN","C","M,C",10,7,8,5791
"Triboli","Modric","MIL","C","M,C",31,12,13,2606
"Triboli","Konè I.","SAS","C","C",11,9,9,6717
"Triboli","Musah","MIL","C","C,W",2,2,2,5295
"Triboli","Zalewski","ATA","C","W",8,6,5,5422
"Triboli","Meichtry","GEN","C","W,T",1,5,5,7409
"Triboli","Maldini","CAG","A","T,A",21,5,6,4896
"Triboli","Pulisic","MIL","C","T,A",76,25,23,2423
"Triboli","Petagna","MON","A","Pc",1,2,2,383
"Triboli","Davis K.","UDI","A","Pc",57,19,19,5637
"Triboli","Buksa","UDI","A","Pc",1,2,2,7249
"Triboli","Leao","MIL","A","A",41,18,19,4510
"Triboli","Yildiz","JUV","A","A",99,23,24,6434
